year,Country,Season
1896,France,Summer
1896,France,Summer
1896,France,Summer
1896,France,Summer
1896,France,Summer
1896,France,Summer
1896,France,Summer
1896,France,Summer
1896,France,Summer
1896,France,Summer
1896,France,Summer
1896,Australia,Summer
1896,Australia,Summer
1896,Australia,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,US,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
1896,Rest of Europe,Summer
